test,iteration,female_coef,p_value
gender_permutation,103,-0.522948381216954,0.13059944863809347
gender_permutation,104,0.10792557853380488,0.7097056298822096
gender_permutation,105,0.030968366338121125,0.9247716322722663
gender_permutation,106,-0.13616625428793028,0.6918539358937001
gender_permutation,107,0.0949657588986106,0.7735505665913842
gender_permutation,108,-0.20483176374451512,0.4968680325317735
gender_permutation,109,0.5129277980946241,0.13109873458971757
gender_permutation,110,-0.3861984582957141,0.21430730342735116
gender_permutation,111,0.33548864711037385,0.3370661678466138
gender_permutation,112,0.6234889568701114,0.06242479221347355
gender_permutation,113,-0.4424904578392228,0.2000433701559421
gender_permutation,114,-0.16261433912017553,0.6114272550584767
gender_permutation,115,0.15386483494077796,0.626059619128712
