spec_id,controls,year_filter,party_filter,seat_filter,winnable_threshold,female_coef,female_se,female_p,ci_lower,ci_upper,n
520,year,all,all,general,40,0.15599425684416274,0.24800081235820925,0.5293444474356784,-0.3300784035146033,0.6420669172029287,19988
521,year,all,all,sc,40,0.274945125096336,0.5897428114276314,0.6410638220008558,-0.8809295454432182,1.4308197956358901,3116
522,year,all,all,st,40,-1.265439716582104,0.888162840987247,0.15421980783180153,-3.0062068973238834,0.475327464159675,1276
523,year,all,national,all,40,-0.16662934415819491,0.8093279816949841,0.8368799197460398,-1.752883039960856,1.419624351644466,3636
524,year,all,national,general,40,-0.2807118638358866,0.9593157929279408,0.7698151138160982,-2.160936267775135,1.5995125401033616,2750
525,year,all,national,sc,40,-0.37377417855849326,2.1271476834992673,0.8605169553017389,-4.542907028014863,3.795358670897876,538
526,year,all,national,st,40,1.4350265426418707,2.0488306903641758,0.48366975752242836,-2.580607820892249,5.45066090617599,348
527,year,all,regional,all,40,0.042947401583747415,0.1735012277729177,0.8044952107590192,-0.2971087561246519,0.38300355929214674,20744
528,year,all,regional,general,40,0.17514961792374228,0.1819931234858813,0.33585027011620316,-0.18155034954253568,0.5318495853900203,17238
529,year,all,regional,sc,40,0.48867514314192245,0.4977300362329755,0.3261946325932761,-0.48685780189852573,1.4642080881823707,2578
530,year,all,regional,st,40,-1.9631003890064078,0.9106448306934909,0.031105096690240995,-3.747931459873225,-0.17826931813959046,928
531,year,all,independent,all,40,-0.19058064791855917,0.15963272723398417,0.23252901090349354,-0.5034550440510743,0.12229374821395605,12896
532,year,all,independent,general,40,0.053236962451980625,0.1361211680990699,0.6957234639426919,-0.21355562455571891,0.32002954945968015,11071
533,year,all,independent,sc,40,0.4376187139414093,0.4475669615494059,0.32818680303304537,-0.43959641136544947,1.314833839248268,1395
534,year,all,independent,st,40,-5.123003098862438,1.6363378335269319,0.001743465808750825,-8.330166319115524,-1.915839878609353,430
535,year,2004,all,all,40,-0.4029951411510219,0.3220011218937449,0.2107399559098635,-1.0341057430442537,0.22811546074220995,5446
536,year,2004,all,general,40,-0.4146178120989187,0.36012886324841925,0.24960717920681297,-1.1204574138591707,0.2912217896613334,4484
537,year,2004,all,sc,40,0.29708417652532815,0.8345807185664935,0.7218643977120967,-1.338663974056558,1.932832327107214,703
538,year,2004,all,st,40,-1.8367408907294287,1.3690292379501972,0.17971357842398605,-4.5199888908941315,0.8465071094352736,259
539,year,2004,national,all,40,-0.6494635360465668,1.0567368923494016,0.538823263871688,-2.7206297861861746,1.4217027140930407,851
540,year,2004,national,general,40,-0.5499037339285096,1.3091283966911929,0.6744464999588107,-3.1157482425819123,2.015940774724893,652
541,year,2004,national,sc,40,1.4484104506403463,1.6739058417846424,0.3868807969557744,-1.8323847127687545,4.729205614049447,121
542,year,2004,regional,all,40,-0.31268787665834746,0.27945060337322214,0.26316662459244167,-0.8604009947278501,0.23502524141115527,4595
543,year,2004,regional,general,40,-0.3805556582618695,0.30424900925942266,0.21100625846885712,-0.9768727587423314,0.21576144221859234,3832
544,year,2004,regional,sc,40,-0.01749172921540474,0.9512066955670532,0.9853285366704408,-1.8818225943801843,1.846839135949375,582
545,year,2004,regional,st,40,0.4319177061710657,0.6523024102668206,0.5078793529589234,-0.846571524980573,1.7104069373227044,181
546,year,2004,independent,all,40,-0.179226593182456,0.109763433965631,0.10250175557714371,-0.3943589705745333,0.03590578420962123,2389
547,year,2004,independent,general,40,-0.13711164724614014,0.1098316278563257,0.21189179751089193,-0.35237768220794463,0.07815438771566438,2068
548,year,2004,independent,sc,40,-0.3733027854811573,0.24162421057472455,0.12235289043628185,-0.8468775360005395,0.10027196503822489,262
549,year,2009,all,all,40,-0.2678159064609482,2.7026437781475382e-11,0.0,-0.26781590651391907,-0.26781590640797737,6637
550,year,2009,all,general,40,-0.17327345621967535,3.138888559544488e-10,0.0,-0.1732734568348862,-0.1732734556044645,5430
551,year,2009,all,sc,40,0.42799304309970576,0.7854008540709261,0.5857976727628211,-1.111364344306308,1.9673504305057197,857
552,year,2009,all,st,40,-2.770598276158203,2.6675385887300704,0.2989746377852498,-7.998877837439945,2.4576812851235386,350
