review_id,PARL_ROW_ID,MYNETA_ROW_ID,YEAR,PC,parliament_name,parliament_party,myneta_name,myneta_party,match_score,name_score,party_score,review_priority,decision,evidence_reference,reviewer,reviewed_at_utc,notes
90,1781,9508,2009,BEED,SAYED MINHAJ ALI WAJED ALI (PENDKHAJUR WALE),IND,SAYYED MINHAJ ALI WAJED ALI (PENDKHJUR WALE),IND,0.9785714285714285,0.9761904761904762,1.0,P2,,,,,
91,1782,8896,2009,BEED,RAMESH VISHWANATH KOKATE,IND,RAMESH VISHVANATH KOKATE,IND,0.9625,0.9583333333333334,1.0,P3,,,,,
92,1784,3436,2009,BEED,ADV.NATKAR RAMRAO SHESHERAO,IND,ADV.NATKAR RAMRAO SHESHRAO,IND,0.98,0.9777777777777777,1.0,P1,,,,,
93,1787,6473,2009,BEED,KHAN SIKANDAR KHAN HUSEN KHAN,IND,KHAN SIKANDAR KHAN HUSSAIN KHAN,IND,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
94,1788,9510,2009,BEED,SAYYAD SALIM FATTU,IND,SAYYED SALIM FATTU,IND,0.95,0.9444444444444444,1.0,P3,,,,,
95,1789,9395,2009,BEED,SARDAR KHAN SULTANBABA,IND,SARDAR KHAN SULTANABABA,IND,0.98,0.9777777777777777,1.0,P1,,,,,
96,1806,9698,2009,BEGUSARAI,SHATRUGHNA PRASAD SINGH,CPI,SHATRUGHAN PRASAD SINGH,CPI,0.9608695652173913,0.9565217391304348,1.0,P3,,,,,
97,1837,8786,2009,BELGAUM,RAMCHANDRA MAREPPA TORGAL(CHALAWADI),IND,RAMACHANDRA MAREPPA TORGAL (CHALAWADI),IND,0.9873239436619718,0.9859154929577465,1.0,P1,,,,,
98,1910,10165,2009,BETUL,SUNIL KUMAR KAWDE,IND,SUNIL KUMAR KAWADE,IND,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
99,1948,9012,2009,BHADRAK,RATHA DAS,BJP,Rath Das,BJP,0.9470588235294117,0.9411764705882353,1.0,P4,,,,,
100,1980,9038,2009,BHAGALPUR,RAVISHANKAR SINGH,IND,RAVI SHANKAR SINGH,IND,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
101,1996,10532,2009,BHANDARA - GONDIYA,UNDIRWADE HEMANT JAGIVAN,PRCP,UNDIRWADE HEMANT JAGIVAN,PRBP,0.9750000000000001,1.0,0.75,P2,,,,,
102,2007,5956,2009,BHANDARA - GONDIYA,JAMAIWAR SUNIL PARASRAM,RSPS,JAMAIWAR SUNIL PARASRAM,RSP,0.9857142857142858,1.0,0.8571428571428571,P1,,,,,
103,2018,6486,2009,BHARATPUR,KHEMCHAND,BJP,KHEM CHAND,BJP,0.9526315789473684,0.9473684210526315,1.0,P3,,,,,
104,2108,9007,2009,BHILWARA,RATANLAL DHOBI,IND,RATAN LAL DHOBI,IND,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
105,2152,5844,2009,BHIWANDI,ISMAIL SHAIKH LATIF,KKJHS,ISMAILE SHAIKH LATIF,KKJHS,0.9769230769230769,0.9743589743589743,1.0,P2,,,,,
106,2154,6945,2009,BHIWANDI,MAHENDRA KERU WADHWINDE,IND,MAHENDRA KERU WADVINDE,IND,0.9400000000000001,0.9333333333333333,1.0,P4,,,,,
107,2181,5068,2009,BHIWANI-MAHENDRAGARH,DR. PURAN MAL SHARMA,IND,DR PURANMAL SHARMA,IND,0.9709677419354839,0.967741935483871,1.0,P2,,,,,
108,2194,8596,2009,BHIWANI-MAHENDRAGARH,RAJ KUMAR,IND,RAJKUMAR,IND,0.9470588235294117,0.9411764705882353,1.0,P4,,,,,
109,2195,7012,2009,BHIWANI-MAHENDRAGARH,MANMOHAN SINGH,IND,MAN MOHAN SINGH,IND,0.9689655172413794,0.9655172413793104,1.0,P3,,,,,
110,2209,9864,2009,BHONGIR,SIDDHARTHA PHOOLEY,BSP,Siddhartha Pooley,BSP,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
111,2266,9418,2009,BHUBANESWAR,SASTHI PRASAD SETHI,IND,Sasthi Prasad Sethy,IND,0.9526315789473684,0.9473684210526315,1.0,P3,,,,,
112,2278,7537,2009,BIDAR,N.DHARAM SINGH,INC,N. Dharamsingh,INC,0.9666666666666666,0.9629629629629629,1.0,P3,,,,,
113,2284,10319,2009,BIDAR,SYED QUBUL ULLA HUSSIANI (SAJID),IND,SYED QUBUL ULLAHUSSIANI (SAJID),IND,0.9847457627118644,0.9830508474576272,1.0,P1,,,,,
114,2310,3556,2009,BIJAPUR,ALMELKAR VILASABABU BASALINGAPPA,JD(S),Almellkar Vilasbabu Basalingappa,JD(S),0.971875,0.96875,1.0,P2,,,,,
115,2378,6488,2009,BIKANER,KHEM CHAND NIMBHAL,IND,KHEMCHAND NIMBHAL,IND,0.9742857142857143,0.9714285714285714,1.0,P2,,,,,
116,2405,3445,2009,BILASPUR,ADVOCATE T.R.NIRALA,BSP,AdvocateT R Nirala,BSP,0.9756756756756757,0.972972972972973,1.0,P2,,,,,
117,2412,5085,2009,BILASPUR,DR.BALMUKUND SINGH MARAVI,GGP,Dr. Bal Mukund Singh Maravi,GGP,0.98,0.9777777777777777,1.0,P1,,,,,
