spec_id,controls,vote_share_min,year_filter,party_filter,seat_filter,winnable_threshold,n,n_female,female_coef,female_se,female_p,ci_lower,ci_upper,r2
1044,controls+winnable,0.25,2004,regional,reserved,40,496,35,-0.6897708465460334,0.7556959270257253,0.36136750457987066,-2.170907646780064,0.791365953687997,0.023940128548551876
1364,full+winnable,0.0,2004,regional,general,40,1355,79,-0.6890622993335156,0.670133630539141,0.3038340731321314,-2.0025000800193027,0.6243754813522717,0.02361265670692181
932,controls+winnable,0.0,2004,regional,general,40,1355,79,-0.689062299333515,0.6701336305391417,0.30383407313213207,-2.0025000800193036,0.6243754813522734,0.02361265670692181
1119,controls+winnable,0.5,2004,all,all,35,2352,175,-0.6852153374455124,0.6135537033389938,0.26408085150208493,-1.887758498571113,0.5173278236800881,0.01234004182101378
1551,full+winnable,0.5,2004,all,all,35,2352,175,-0.685215337445512,0.6135537033389936,0.26408085150208505,-1.8877584985711122,0.5173278236800881,0.01234004182101378
610,year+winnable,0.25,2004,regional,reserved,30,496,35,-0.6797378146514159,0.7601985631476372,0.3712372282591565,-2.169699619519883,0.8102239902170509,0.0025592725097841607
178,none+winnable,0.25,2004,regional,reserved,30,496,35,-0.6797378146514148,0.760198563147637,0.37123722825915717,-2.169699619519881,0.8102239902170518,0.0025592725097841607
844,year+winnable,1.0,2009,national,all,40,983,79,-0.6765243399414992,3.224914220695781e-11,0.0,-0.6765243400047063,-0.6765243398782921,0.11765029036621377
735,year+winnable,0.5,2009,national,all,35,1064,87,-0.6748914255910234,4.118295871493411e-10,0.0,-0.6748914263981945,-0.6748914247838523,0.11639538191615606
412,none+winnable,1.0,2009,national,all,40,983,79,-0.6739334543581976,1.7108381446164314,0.6936400640216248,-4.027114601183731,2.6792476924673365,0.11835500351366524
739,year+winnable,0.5,2009,national,general,35,759,64,-0.6735800866952789,2.015677868996359,0.7382509012626569,-4.624236114362588,3.27707594097203,0.10523782786958302
307,none+winnable,0.5,2009,national,general,35,759,64,-0.6735800866952774,2.015677868996358,0.7382509012626575,-4.624236114362584,3.2770759409720296,0.10523782786958313
1230,controls+winnable,1.0,2004,all,general,30,1363,111,-0.6729698545444631,0.860764950019955,0.4343158577783528,-2.3600381557379944,1.0140984466490683,0.017514957025531408
1662,full+winnable,1.0,2004,all,general,30,1363,111,-0.672969854544463,0.8607649500199551,0.434315857778353,-2.360038155737995,1.0140984466490686,0.017514957025531297
1661,full+winnable,1.0,2004,all,general,20,1363,111,-0.6713246494687677,0.8539678028241582,0.43179480091783695,-2.34507078696092,1.0024214880233846,0.024156034430091622
1229,controls+winnable,1.0,2004,all,general,20,1363,111,-0.6713246494687671,0.8539678028241586,0.4317948009178376,-2.34507078696092,1.0024214880233862,0.024156034430091622
324,none+winnable,0.5,2009,regional,reserved,40,528,42,-0.6709192699209305,1.3144420588588595,0.6097563133472774,-3.247178365048973,1.905339825207112,0.1798413364664848
1427,full+winnable,0.25,all,national,reserved,35,649,53,-0.6689879039703325,1.3505627590120914,0.6203600632496682,-3.31604227049508,1.9780664625544153,0.10452528230530322
631,year+winnable,0.25,2009,national,general,35,772,64,-0.6688407303010949,6.526748630245159e-10,0.0,-0.6688407315803141,-0.6688407290218757,0.10378126487830297
1319,full+winnable,0.0,all,national,reserved,35,650,53,-0.6686137956740744,1.350421981916845,0.6205191467782054,-3.3153922441622905,1.9781646528141419,0.10452975004826481
1620,full+winnable,0.5,2009,regional,reserved,40,528,42,-0.667666430694485,1.3210886500388517,0.6132841768060133,-3.256952605155274,1.9216197437663038,0.18000962211422789
1188,controls+winnable,0.5,2009,regional,reserved,40,528,42,-0.6676664306944813,1.321088650038851,0.6132841768060149,-3.256952605155269,1.9216197437663063,0.180009622114228
199,none+winnable,0.25,2009,national,general,35,772,64,-0.6662744780386008,2.014370162785483,0.7408252510122219,-4.614367448630233,3.2818184925530316,0.10616383345721292
61,none+winnable,0.0,2004,regional,all,20,1938,116,-0.666185311516365,0.5033493644590143,0.18566755345399477,-1.6527319374971587,0.3203613144644287,0.0007972697411515739
493,year+winnable,0.0,2004,regional,all,20,1938,116,-0.6661853115163645,0.5033493644590143,0.185667553453995,-1.6527319374971583,0.32036131446442917,0.0007972697411515739
91,none+winnable,0.0,2009,national,general,35,774,64,-0.6650164475664184,2.014181045297794,0.7412736547363099,-4.612738754693334,3.2827058595604974,0.1062966976454387
1535,full+winnable,0.5,all,national,reserved,35,641,53,-0.664470138238551,1.3533513711489544,0.6234397141171325,-3.3169900841184012,1.9880498076412993,0.10596984774575335
494,year+winnable,0.0,2004,regional,all,30,1938,116,-0.6616594055738518,0.5032121592339962,0.18855303976698257,-1.6479371142551194,0.3246183031074156,0.0007868685777825402
62,none+winnable,0.0,2004,regional,all,30,1938,116,-0.6616594055738512,0.5032121592339961,0.18855303976698268,-1.6479371142551185,0.324618303107416,0.0007868685777825402
609,year+winnable,0.25,2004,regional,reserved,20,496,35,-0.6606217324290143,0.7626232399054634,0.3863535459214713,-2.155335816416972,0.8340923515589432,0.004155669556400454
177,none+winnable,0.25,2004,regional,reserved,20,496,35,-0.660621732429014,0.7626232399054631,0.3863535459214713,-2.155335816416971,0.8340923515589429,0.004155669556400454
1200,controls+winnable,1.0,all,all,reserved,40,1168,92,-0.6591702525620589,0.924626687514768,0.4759050376313687,-2.471405259235575,1.1530647541114571,0.06327455856974584
1383,full+winnable,0.0,2009,national,all,35,1086,87,-0.6578102710901735,1.5700843280083627,0.6752417625752107,-3.7351190066773374,2.4194984644969906,0.14912806655878696
951,controls+winnable,0.0,2009,national,all,35,1086,87,-0.6578102710901638,1.5700843280083636,0.6752417625752154,-3.735119006677329,2.4194984644970017,0.14912806655878708
1059,controls+winnable,0.25,2009,national,all,35,1083,87,-0.6567751169805882,1.5702715487446497,0.675760132841768,-3.7344507984680337,2.420900564506857,0.14902785491654047
1491,full+winnable,0.25,2009,national,all,35,1083,87,-0.6567751169805832,1.5702715487446497,0.6757601328417702,-3.7344507984680284,2.420900564506862,0.14902785491654014
669,year+winnable,0.5,all,national,reserved,20,641,53,-0.6533991609621743,1.3224691334898788,0.6212530934252837,-3.2453910332682296,1.9385927113438812,0.05652618313504487
1711,full+winnable,1.0,2009,national,general,35,711,57,-0.6514201420473077,2.117582253188799,0.7583680896749466,-4.801805092598532,3.4989648085039167,0.14786433111995878
1279,controls+winnable,1.0,2009,national,general,35,711,57,-0.6514201420473061,2.1175822531887967,0.758368089674947,-4.801805092598526,3.4989648085039136,0.14786433111995878
495,year+winnable,0.0,2004,regional,all,35,1938,116,-0.6511314333230268,0.5052287129974042,0.1974726725982251,-1.6413615147534626,0.339098648107409,0.000979273359081767
63,none+winnable,0.0,2004,regional,all,35,1938,116,-0.6511314333230257,0.5052287129974041,0.19747267259822576,-1.6413615147534613,0.33909864810740986,0.000979273359081767
1387,full+winnable,0.0,2009,national,general,35,774,64,-0.6500926941414652,1.9529610039694079,0.7392283321994224,-4.477825925132691,3.17764053684976,0.14441200446310543
955,controls+winnable,0.0,2009,national,general,35,774,64,-0.6500926941414572,1.9529610039694076,0.7392283321994255,-4.477825925132682,3.1776405368497675,0.14441200446310531
627,year+winnable,0.25,2009,national,all,35,1083,87,-0.6498887994461177,1.148885527676305,0.5716188883472543,-2.901663056050971,1.601885457158736,0.1178478808046276
496,year+winnable,0.0,2004,regional,all,40,1938,116,-0.6473891055632346,0.5051815064619213,0.2000187912755057,-1.637526663884289,0.34274845275781973,0.0010561487729965346
64,none+winnable,0.0,2004,regional,all,40,1938,116,-0.6473891055632345,0.5051815064619211,0.20001879127550592,-1.6375266638842882,0.3427484527578194,0.0010561487729965346
453,year+winnable,0.0,all,national,reserved,20,650,53,-0.6468749006525776,1.3213485101770708,0.6244476848326939,-3.2366703916252932,1.9429205903201383,0.05635138959533026
561,year+winnable,0.25,all,national,reserved,20,649,53,-0.6466770934204599,1.3214613054829116,0.6245832131204543,-3.236693659130249,1.9433394722893294,0.05634619867386559
1063,controls+winnable,0.25,2009,national,general,35,772,64,-0.6452319679397673,1.9531601142186659,0.741133380070331,-4.4733554478484905,3.1828915119689563,0.14433572891857982
1495,full+winnable,0.25,2009,national,general,35,772,64,-0.6452319679397592,1.9531601142186654,0.7411333800703341,-4.473355447848482,3.1828915119689634,0.14433572891857982
671,year+winnable,0.5,all,national,reserved,35,641,53,-0.6368222987211558,1.3327202339592512,0.6327666193297381,-3.248905958749083,1.9752613613067713,0.08766269414220063
336,none+winnable,1.0,all,all,reserved,40,1168,92,-0.6354609211834734,0.920260788839519,0.48986556944581494,-2.43913892369335,1.1682170813264035,0.06057617534554305
1066,controls+winnable,0.25,2009,national,reserved,30,311,23,-0.6347268511065921,2.461307961587243,0.7964980299283654,-5.458801810679283,4.189348108466099,0.14089290230043383
1498,full+winnable,0.25,2009,national,reserved,30,311,23,-0.6347268511065822,2.461307961587243,0.7964980299283685,-5.458801810679273,4.189348108466109,0.14089290230043405
1171,controls+winnable,0.5,2009,national,general,35,759,64,-0.6346697849842942,1.9542362275730554,0.745358061823345,-4.464902408310904,3.1955628383423154,0.14365124515443872
1603,full+winnable,0.5,2009,national,general,35,759,64,-0.6346697849842942,1.9542362275730556,0.7453580618233451,-4.464902408310904,3.195562838342316,0.14365124515443883
1649,full+winnable,1.0,all,regional,general,20,1165,76,-0.6334085560462309,0.9011142754431478,0.4821074672487884,-2.3995600818697067,1.1327429697772446,0.13139771284932622
1599,full+winnable,0.5,2009,national,all,35,1064,87,-0.6325718277843577,1.5708121017826486,0.687166219927174,-3.711306973758015,2.446163318189299,0.1496545722230882
1167,controls+winnable,0.5,2009,national,all,35,1064,87,-0.6325718277843574,1.5708121017826497,0.6871662199271744,-3.7113069737580164,2.4461633181893014,0.1496545722230882
455,year+winnable,0.0,all,national,reserved,35,650,53,-0.6305069102286653,1.3316940020458066,0.6358833888341431,-3.240579192666455,1.9795653722091244,0.08751272084981321
563,year+winnable,0.25,all,national,reserved,35,649,53,-0.6301190508191687,1.331789242032046,0.6361152887168846,-3.2403780001998763,1.9801398985615386,0.08750865482786818
958,controls+winnable,0.0,2009,national,reserved,30,312,23,-0.6275257364498321,2.4604439771325395,0.7986877774516312,-5.449907317608102,4.194855844708438,0.14086581812262355
1390,full+winnable,0.0,2009,national,reserved,30,312,23,-0.6275257364498283,2.4604439771325395,0.7986877774516323,-5.4499073176080985,4.194855844708441,0.14086581812262378
1425,full+winnable,0.25,all,national,reserved,20,649,53,-0.6223305801999202,1.3393469521016557,0.6421805054958353,-3.247402369122658,2.002741208722818,0.07373282916419688
1317,full+winnable,0.0,all,national,reserved,20,650,53,-0.6215680843392087,1.33917961949292,0.6425467733648544,-3.246311907375386,2.003175738696968,0.07373096315123262
1550,full+winnable,0.5,2004,all,all,30,2352,175,-0.6204672110513373,0.6117737677941875,0.3104824503268674,-1.8195217626143148,0.5785873405116401,0.01294802694466457
1118,controls+winnable,0.5,2004,all,all,30,2352,175,-0.6204672110513356,0.6117737677941877,0.31048245032686894,-1.8195217626143134,0.5785873405116422,0.012948026944664681
1359,full+winnable,0.0,2004,regional,all,35,1938,116,-0.6185618026212311,0.5073171961358287,0.22273786833665588,-1.6128852357852979,0.37576163054283584,0.019628366983025947
927,controls+winnable,0.0,2004,regional,all,35,1938,116,-0.6185618026212304,0.5073171961358286,0.22273786833665632,-1.612885235785297,0.3757616305428363,0.019628366983025947
1533,full+winnable,0.5,all,national,reserved,20,641,53,-0.6178249647386422,1.3424575931792304,0.6453587812409614,-3.2489934981422577,2.0133435686649728,0.07518210211340925
258,none+winnable,0.5,2004,all,general,30,1603,116,-0.614442374119908,0.8224237442454452,0.4549961585408908,-2.226363292871561,0.997478544631745,0.00047597194356352457
690,year+winnable,0.5,2004,all,general,30,1603,116,-0.6144423741199075,0.822423744245445,0.4549961585408909,-2.22636329287156,0.997478544631745,0.00047597194356352457
1117,controls+winnable,0.5,2004,all,all,20,2352,175,-0.6140451120453139,0.6093834405051396,0.31362260446228707,-1.8084147082104942,0.5803244841198665,0.015625735605645508
1549,full+winnable,0.5,2004,all,all,20,2352,175,-0.6140451120453131,0.6093834405051394,0.3136226044622875,-1.8084147082104929,0.5803244841198668,0.015625735605645508
